                   frame  Start Frame
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /local/midi/userdevices/bcf2000/mapmaster1/midiout_sliders (DAT:chopexec)
    0.000 ms       cook   MIDI event check: /local/midi/userdevices/bcr2000/mapmaster1/midiinmap (CHOP:midiinmap)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /local/midi/userdevices/bcr2000/mapmaster1/midiout_buttons (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /local/midi/userdevices/bcr2000/mapmaster1/midiout_sliders (DAT:chopexec)
    0.000 ms       cook   MIDI event check: /local/midi/userdevices/bcr2001/mapmaster1/midiinmap (CHOP:midiinmap)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /local/midi/userdevices/bcr2001/mapmaster1/midiout_buttons (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /local/midi/userdevices/bcr2001/mapmaster1/midiout_sliders (DAT:chopexec)
    0.000 ms       cook   MIDI event check: /local/midi/userdevices/bcr2002/mapmaster1/midiinmap (CHOP:midiinmap)
    0.000 ms       script   Checking CHOP channels for CHOP Execute DAT /local/midi/userdevices/bcr2002/mapmaster1/midiout_buttons (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /local/midi/userdevices/bcr2002/mapmaster1/midiout_sliders (DAT:chopexec)
    0.000 ms       cook   MIDI event check: /local/midi/userdevices/bcr2003/mapmaster1/midiinmap (CHOP:midiinmap)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /local/midi/userdevices/bcr2003/mapmaster1/midiout_buttons (DAT:chopexec)
    0.000 ms       script   Checking CHOP channels for CHOP Execute DAT /local/midi/userdevices/bcr2003/mapmaster1/midiout_sliders (DAT:chopexec)
    0.001 ms       cook   MIDI event check: /local/midi/userdevices/bcr2004/mapmaster1/midiinmap (CHOP:midiinmap)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /local/midi/userdevices/bcr2004/mapmaster1/midiout_buttons (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /local/midi/userdevices/bcr2004/mapmaster1/midiout_sliders (DAT:chopexec)
    0.000 ms       cook   MIDI event check: /local/midi/userdevices/template/mapmaster1/midiinmap (CHOP:midiinmap)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /local/midi/userdevices/template/mapmaster1/midiout_buttons (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /local/midi/userdevices/template/mapmaster1/midiout_sliders (DAT:chopexec)
    0.002 ms  2468 cook    /ui/local/time/clock (CHOP:null)
    0.007 ms  2469 cook     /ui/local/time/scrubber (CHOP:switch)
    0.007 ms  2469 cook      /ui/local/time/independent (CHOP:switch)
    0.017 ms  2469 cook       /ui/local/time/cframe (CHOP:speed)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK/knob/slider1/script (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK/knob/slider1/on_change (DAT:chopexec)
    0.003 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK/jogwheel/wheel/up (DAT:chopexec)
    0.007 ms  2461 cook     /ui/lib/TUIK/jogwheel/wheel/logic1 (CHOP:logic)
    0.005 ms  2461 cook      /ui/lib/TUIK/jogwheel/wheel/slope1 (CHOP:slope)
    0.003 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK/jogwheel/wheel/down (DAT:chopexec)
    0.004 ms  2461 cook     /ui/lib/TUIK/jogwheel/wheel/logic2 (CHOP:logic)
    0.007 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK/jogwheel/wheel/setValue (DAT:chopexec)
    0.004 ms  2461 cook     /ui/lib/TUIK/jogwheel/wheel/speed2 (CHOP:speed)
    0.095 ms       script    /ui/lib/TUIK/jogwheel/wheel/setValue /ui/lib/TUIK/jogwheel/wheel/setValue (DAT:chopexec)
    0.044 ms       script    /ui/lib/TUIK/jogwheel/wheel/setValue /ui/lib/TUIK/jogwheel/wheel/setValue (DAT:chopexec)
    0.003 ms       cook   /ui/lib/TUIK/jogwheel/wheel/posnegspeed (CHOP:null Selective/Force Cook Check)
    0.010 ms  2460 cook     /ui/lib/TUIK/jogwheel/wheel/value (CHOP:constant)
    0.002 ms  2460 cook     /ui/lib/TUIK/jogwheel/wheel/posnegspeed (CHOP:null)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK/knoblabel/slider1/script (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK/knoblabel/slider1/on_change (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK/knobendless/slider1/script (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK/knobendless/slider1/on_change (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK/knobendlesslabel/slider1/script (DAT:chopexec)
    0.001 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK/knobendlesslabel/slider1/on_change (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK2/knob/slider1/script (DAT:chopexec)
    0.000 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK2/knob/slider1/on_change (DAT:chopexec)
    0.002 ms       script   Checking CHOP channels for CHOP Execute DAT /ui/lib/TUIK2/knoblabel/slider1/script (DAT:chopexec)
